objID,name,ra,dec,z,type
1.0216e+17,SDSS J014854.73-045148.6,27.228071,-4.86351,0.66,Q
1.27142e+17,SDSS J162628.41+155702.2,246.618414,15.950637,2.3,Q
1.60592e+17,SDSS J105610.99+434930.4,164.045808,43.825119,0.3,A
1.70182e+17,SDSS J155916.60+514916.6,239.819201,51.821301,0.98,AR
1.49741e+17,SDSS J074831.74+344710.5,117.132248,34.78626,1.73,Q
1.64102e+17,SDSS J152941.01+464517.6,232.420883,46.754894,2.42,Q
1.28992e+17,SDSS J161946.73+172937.2,244.944722,17.4937,0.69,QX
1.53423e+17,SDSS J171402.88+375100.5,258.512043,37.850137,0.62,Q
1.81672e+17,SDSS J134431.88+612328.1,206.132856,61.391155,0.85,Q
1.45063e+17,SDSS J165858.83+305316.2,254.745144,30.887821,0.59,Q
1.11683e+17,SDSS J223022.31+030422.7,337.593001,3.072973,0.76,QR
1.49791e+17,SDSS J092926.64+344933.1,142.361031,34.825897,0.58,Q
1.82731e+17,SDSS J090832.03+621642.9,137.133448,62.278614,0.36,Q
1.18963e+17,SDSS J215941.36+090821.8,329.922336,9.139404,0.72,Q
1.20322e+17,SDSS J155422.37+101616.7,238.593267,10.271311,1.26,Q
1.12483e+17,SDSS J231421.30+034404.9,348.588814,3.734708,0.68,Q
1.69442e+17,SDSS J140956.73+511205.9,212.486412,51.20165,0.52,Q
1.16241e+17,SDSS J085247.10+065223.2,133.196268,6.873123,0.47,Q
1.28262e+17,SDSS J163317.00+165310.3,248.32086,16.88621,0.87,Q
1.22661e+17,SDSS J095210.01+121317.7,148.04173,12.221616,0.86,Q
1.63932e+17,SDSS J131243.73+463647.2,198.182244,46.613114,0.5,AX
1.2045e+17,SDSS J013424.11+102243.7,23.600492,10.378803,2.01,Q
1.44391e+17,SDSS J084826.17+301931.2,132.109055,30.325352,0.47,Q
1.36563e+17,SDSS J230437.88+234802.3,346.157863,23.800654,0.51,Q
1.21432e+17,SDSS J125312.84+111147.6,193.303506,11.196567,2.46,Q
1.55032e+17,SDSS J133510.88+391136.0,203.795357,39.193365,0.59,QX
1.51912e+17,SDSS J122326.26+363533.1,185.859438,36.59254,1.0,Q
1.10831e+17,SDSS J085449.00+022156.6,133.704193,2.365732,0.99,QX
1.1318e+17,SDSS J000118.89+041926.3,0.328738,4.324036,0.97,Q
