source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,pm,b,l,ecl_lat,ecl_lon,ruwe,v
2536148746287884160,18.19657,0.147697,5.264600931572574,33.033295,368.1101,-63.29853221280344,128.88686250726929,-6.622172248076972,14.09115921022088,0.982494,331.42909251024474
191526855315318656,19.648514,0.14242,2.3904133432428716,5.689713,166.87978,6.055860104396944,171.01671107312617,16.325933648106446,87.66582444908002,0.983244,330.909355271391
788189548935949568,20.364183,0.9485,6.578653303970768,8.940455,459.2003,63.29618666839534,162.09923850116934,37.19153586893734,149.0798598854099,1.01516,330.85941136728474
3366262772374939136,17.034067,-0.291708,0.4643756315442157,6.411,32.395943,9.53496048598037,194.20075616580792,-1.949864640908773,102.17670614581483,0.938478,330.67361401035
6698374546088091904,20.299337,1.205397,6.409070109133028,6.98481,444.56015,-27.808556509059805,5.114594273257099,-14.414219112163112,294.0949997126441,1.036796,328.7864036143903
3711881543758246144,16.977222,-0.449205,0.4335240401035854,5.326416,30.054626,63.23927289007815,325.68951755979043,10.904163268939666,200.36794139807768,1.093044,328.6067582534074
5742493904658748800,19.994421,0.35248,2.036724531722374,4.490511,140.99971,24.36462821661787,239.96488722967376,-25.526586166366744,143.20243392520067,0.966868,328.1438483132869
1047156629273322368,19.067245,-0.244141,1.9811713719175343,9.232503,137.11462,49.81766159961402,151.5712177180452,44.381073757651656,132.18911466531637,1.002056,328.05002489110603
1604001578740810752,19.516718,0.563358,6.4015121831311275,24.578428,442.67285,58.04615041802089,88.86423598208897,61.2906570970649,188.31312729622522,0.994941,327.777133961485
5569370443043339392,17.034575,-0.385185,0.3127882637474304,5.312825,21.618229,-20.325873675579285,251.21134651635163,-65.37523822242215,106.83663081387101,1.133133,327.6031006307137
6101858358100503680,17.224865,-0.325554,0.4033539727736744,4.523912,27.851513,16.481882481495823,325.83447432898504,-23.56875211196819,232.6723354649831,0.884839,327.2960726791452
1724761524935844096,19.329033,0.560045,6.900913880913941,35.90603,475.30875,28.979457979576765,118.92926662237403,70.37093661163844,93.21709759389941,0.989515,326.4732029003707
6616134404928953088,16.644318,-0.466558,0.5504248726199625,7.415222,37.8323,-51.53187638138788,15.999541667934436,-17.40262662392802,320.0252493434989,1.012991,325.7939507493271
3638702276060644864,19.11851,0.445246,3.9200033222293666,15.362596,268.29868,60.35829265517538,320.2866879768409,7.059223090612364,200.2401596891936,0.993214,324.42210312277047
5741127967619335424,18.97082,-0.38703,1.1114396511310851,4.83171,75.96063,28.7078330602984,242.94134493212476,-23.341883170446263,148.25755154960834,0.978384,323.95226933858197
6556445663868161920,17.295223,-0.229321,0.797836709974964,8.683209,54.48981,-67.05470471200205,12.369332529402971,-24.99504148777999,334.6957231118506,1.042068,323.72752549927856
1096595688579967232,19.279625,0.86084,9.858093000124112,45.281902,672.3663,30.004086551355652,146.72125632059337,46.73502998677244,103.44585972005584,1.019089,323.2893145875441
3973203189590794240,19.976091,0.993799,9.244040741836733,15.106668,629.4114,71.74288864256354,241.32813101268331,14.454316522407503,169.31412235905006,0.943276,322.73872542074366
1527701145426221824,17.442125,-0.40078,1.15350522093043,10.544929,78.21437,74.73156810585624,118.74567409248598,43.70213730806628,172.0572606555383,1.338698,321.3996005579371
1490688148061362304,20.026154,1.540655,12.833623722625939,34.042038,870.1705,60.80279397279358,77.94644059954395,56.669872867635554,196.33046373673918,0.98945,321.3907562347725
1612339420228653440,20.068737,1.456968,13.455763369310949,40.600887,904.1169,53.23904001463157,91.70349989170234,66.32409821534043,187.00843762631317,1.005755,318.489104229562
5521901674214784000,20.116161,-0.031334,3.940751925952358,8.95564,264.5875,-2.8744155685949098,264.05785543919205,-60.636802124043825,154.24992183376662,0.901087,318.25010673978113
571139979314097280,19.237043,0.771246,8.386166285836945,43.396515,561.57495,22.227526181529885,126.98042635851343,61.57338513459467,81.82206536423023,0.923957,317.4114580878516
1377199267965780224,20.243587,0.289537,2.8652578213457707,7.246474,191.73425,52.8278960807944,62.07560670503486,56.01467997576683,217.55890406144152,1.024664,317.18624136234234
3474580404470867456,19.581715,0.454834,5.021341109778344,15.026573,335.9954,33.05804649351864,295.5991689491701,-24.5511586389948,197.67651559331216,1.022599,317.16988002413075
6411523850869878528,20.621883,1.212042,7.8909091763753985,10.912601,527.0399,-48.723416279127854,333.47043669916513,-43.20783474871584,310.5756166494299,0.957552,316.5882600730269
800969486118765952,19.77051,0.999401,9.385972216177702,22.684692,626.7708,48.47917145926976,183.3147091247764,23.766984882249496,133.69717090513885,1.009868,316.52487191937433
388682656114117248,17.681873,-0.486917,0.9811765156097215,9.062763,65.310585,-17.653639563782367,119.47331802695878,37.57560265535213,28.155817967828057,1.027904,315.5111930209382
