ID1	ID2	NGC	  RA1	      Dec1	  RA2	      Dec2	       cz    
0378    -999    -999    185.1162      1.4683    185.1153      1.4697          1579.4 
0379    -999    -999    185.1288      6.6400    185.1289      6.6399          1497.4 
0380    -999    -999    185.1413      0.7879    185.1407      0.7882          2116.7 
0381    -999    -999    185.1460      5.8076    185.1460      5.8076          2189.5 
0382     426    -999    185.1515     12.8848    185.1513     12.8848          1167.1 
0383    -999    -999    185.1611      5.9089    185.1608      5.9090           983.4 
0384     428    -999    185.1681     13.8890    185.1678     13.8896           823.5 
0385     429    -999    185.1830     14.6313    185.1832     14.6312           655.0 
0386     437    -999    185.2036     17.4872    185.2034     17.4872          1414.0 
0387    -999    -999    185.2036      5.9816    185.2038      5.9818          1771.6 
0388     436    -999    185.2036      6.7236    185.2035      6.7235          2312.5 
0389     439    -999    185.2129      7.0591    185.2133      7.0592          2352.6 
0390     440    -999    185.2177      5.2322    185.2175      5.2318          2380.8 
0391    -999    -999    185.2274      3.4027    185.2274      3.4027          2212.1 
0392    -999    -999    185.2347      5.1890    185.2347      5.1890          2356.0 
0393     446    -999    185.2401      6.3399    185.2414      6.3393           804.2 
0394     448    -999    185.2507     12.7260    185.2509     12.7258           625.7 
0395     450    -999    185.2653      7.0777    185.2652      7.0777          2389.1 
0396     452    -999    185.2700     11.7546    185.2700     11.7546          1434.2 
0397     453    -999    185.2750     11.5954    185.2753     11.5953           975.1 
0398    -999    -999    185.2793      0.4613    185.2793      0.4613          1889.1 
0399     459    -999    185.2976     17.6387    185.2971     17.6386          2123.1 
0400     458    -999    185.3033      8.9633    185.3031      8.9631          1534.9 
0401     460    4293    185.3061     18.3842    185.3034     18.3827           932.4 
