ra,dec
288.124817,+12.527699
064.967705,+51.740936
288.333130,+15.739934
289.725037,+17.662079
053.532074,+57.145946
052.457829,+57.025692
052.281422,+57.026028
288.069061,+12.020858
289.050690,+13.198278
288.594696,+15.686140
288.301239,+15.115948
289.350372,+13.226840
088.494812,+12.052453
071.562302,+51.638058
289.156586,+14.268189
084.239944,+35.477795
293.664947,+26.231319
263.901215,+50.411140
090.092102,+16.141090
288.357117,+14.731221
284.510590,+00.817649
284.250366,+16.107269
025.281671,+63.794155
285.200897,+05.814102
295.754517,+23.791757
294.871857,+24.168770
013.267137,+62.103229
293.538208,+25.588141
079.611442,+46.513001
284.010437,+01.148412
296.386505,+26.907816
286.839111,+11.571155
285.815918,+06.308501
293.144440,+15.946595
291.365662,+23.597597
292.040253,+16.612093
016.650679,+59.769279
295.502258,+27.446424
296.511627,+22.592581
296.916443,+23.444006
294.515533,+29.983069
287.017364,+12.247234
291.681885,+17.262640
292.942444,+28.074379
295.412201,+24.065092
291.586426,+12.437855
285.808258,+06.724422
038.521946,+37.564648
285.952850,+06.775451
281.105194,+13.615435
089.838097,+29.067129
288.592011,+10.141083
285.005035,+11.707948
289.533783,+16.224443
296.539825,+22.906496
281.092773,+24.137390
098.236633,+00.346240
009.359232,+63.797855
010.506001,+66.071526
289.340485,+16.582081
065.212959,+58.816467
014.609778,+54.160862
275.307831,+11.664510
289.891541,+09.070082
289.212372,+09.904517
292.109314,+27.289312
283.043457,+00.853376
039.027847,+63.419678
075.334641,+43.547447
289.292358,+32.056679
094.501633,+22.397041
094.176765,+22.535759
073.835236,+35.968902
094.176269,+22.545080
292.154907,+22.274364
292.508362,+21.712862
094.190834,+22.435795
296.559784,+09.687619
056.880302,+58.469585
286.244476,+16.098762
212.824173,+01.275331
291.536835,+23.479769
291.126617,+14.231809
289.834412,+16.086422
292.821259,+20.321993
134.357666,+17.347803
283.088379,+01.345051
009.765207,+65.535355
101.156959,+01.325712
292.073944,+14.118598
292.906830,+20.553339
292.616119,+20.775164
094.236939,+16.393864
292.368103,+23.404737
298.854614,+01.933783
292.239380,+21.077000
296.982666,+09.469216
288.854431,+15.941711
292.564575,+19.347712
293.433380,+19.379881
030.164414,+60.549778
292.019501,+08.072099
286.514831,+03.029221
094.402435,+22.773079
286.215759,+02.905040
229.764160,+08.138781
029.791189,+58.237675
292.691254,+02.515603
292.651367,+20.170353
037.524322,+40.117779
087.722763,+20.247885
287.054687,+04.365036
293.115723,+18.251963
286.365692,+04.332596
292.163116,+19.042902
297.393432,+21.020996
290.872559,+22.159676
092.491638,+09.875531
293.441925,+18.232401
293.054932,+18.354168
285.480591,+02.773018
029.577038,+67.223183
292.704926,+18.252937
041.683121,+59.354671
286.891937,+15.068387
292.776977,+18.051880
002.847384,+60.698074
287.789856,+07.293805
288.796478,+02.383532
289.432892,+06.308727
098.651291,+03.890898
286.704987,+06.330304
296.275360,+21.139898
281.713501,+15.293318
012.093089,+74.299278
296.385193,+28.746637
285.969849,+14.592214
294.589722,+26.985813
067.367027,+51.016949
291.579254,+16.593285
100.236519,+02.895666
087.943558,+35.371994
291.337616,+16.280829
293.137024,+15.286550
284.207947,+02.646720
235.037262,+16.053696
297.083771,+28.422811
296.696899,+15.817001
294.366150,+20.114931
295.175354,+01.016931
002.175516,+63.009350
056.489491,+35.504803
290.954102,+16.242693
288.368103,+11.674092
087.328796,+15.337702
284.544159,+02.622424
252.199509,+09.255716
294.279785,+19.325287
054.953930,+52.652862
287.180420,+14.178936
295.193054,+24.994694
282.560547,+05.260055
284.074921,+03.306877
282.338043,+04.264452
283.608307,+10.182680
287.689941,+13.762622
125.726593,+62.358807
286.077820,+01.538639
283.908051,+03.633546
011.332045,+58.505112
024.069595,+65.311058
284.721161,+03.734464
095.089035,+35.372536
280.291840,+05.610172
069.083183,+52.236587
021.090784,+32.223907
288.179474,+05.886981
070.032287,+48.855431
046.712791,+36.228641
283.891602,+02.836170
295.862671,+30.953516
221.869293,+01.026286
060.290493,+18.468946
298.510925,+12.012583
289.450226,+18.950638
289.350800,+17.955618
287.003754,+14.017304
055.208015,+49.698216
088.948013,+17.730606
001.572021,+61.566013
296.534149,+29.561365
047.450588,+64.298897
290.529022,+28.668293
295.369965,+30.116560
000.442652,+62.749264
086.713898,+23.641804
295.920929,+31.007152
086.577255,+37.368111
058.217663,+48.986599
283.150971,+00.500285
282.191742,+00.650357
284.607117,+05.241197
279.226410,+00.456447
066.592651,+44.008747
285.883820,+12.099268
095.620789,+09.230162
285.984924,+12.133373
280.744659,+17.200201
288.911072,+12.781389
026.910309,+60.699291
289.015106,+12.279409
290.729767,+21.498970
290.753784,+11.802072
283.219574,+00.561115
104.764099,+09.487475
290.453522,+19.236534
052.060833,+58.493751
283.677185,+06.121032
289.526856,+12.460961
290.979828,+20.648594
283.288177,+00.201817
293.170776,+24.867321
283.406067,+00.493059
284.541321,+05.855460
292.115753,+17.570175
019.390427,+63.368279
290.516479,+16.085634
019.057058,+64.142319
290.713257,+21.619793
292.221954,+14.540328
291.969147,+19.221027
294.446869,+23.682726
284.757324,+05.648142
291.588135,+18.230108
088.853195,+20.243946
091.362480,+25.011019
294.930603,+26.492613
066.869537,+75.407913
286.967499,+03.545174
096.854072,+28.474134
295.459839,+23.383001
291.891602,+19.413952
055.733177,+31.978311
285.390320,+14.936009
292.203217,+18.399406
286.179993,+07.838862
292.136932,+18.280050
285.434814,+13.686514
355.338135,+65.778274
291.395935,+18.114475
285.969299,+13.501140
291.172363,+18.254728
286.169372,+07.893009
288.682800,+18.115336
355.912109,+60.296192
356.540161,+64.603821
295.619324,+22.930660
294.424682,+23.197390
291.455658,+20.153666
080.209930,+31.943769
294.551117,+21.828678
288.705811,+17.917164
088.402184,+40.312839
286.822632,+07.747720
072.529129,+30.425140
288.782898,+14.671686
290.298797,+03.349411
283.923859,+07.494847
290.255371,+15.259439
286.284607,+04.474598
077.067306,+36.808033
277.437531,+45.020935
285.287811,+00.333414
285.245758,+08.940361
285.336029,+00.075942
285.783600,+00.497629
285.034271,+10.596394
283.983215,+10.155688
285.309631,+09.816747
287.610046,+10.932210
287.488159,+10.764654
288.240143,+09.902330
287.703125,+10.380188
287.940124,+10.520468
287.953857,+10.589951
290.269104,+12.077764
289.851837,+11.469772
295.077454,+28.561195
294.337738,+28.648941
284.571228,+08.488292
297.018005,+27.806238
295.044830,+28.969946
298.089600,+26.927866
298.295837,+26.809198
349.205689,+68.879189
296.052704,+26.451696
296.362824,+26.244377
296.147583,+26.231329
