JD,Vmag
2458500.500000000,16.245
2458501.500000000,16.234
2458502.500000000,16.222
2458503.500000000,16.210
2458504.500000000,16.198
2458505.500000000,16.186
2458506.500000000,16.173
2458507.500000000,16.160
2458508.500000000,16.147
2458509.500000000,16.134
2458510.500000000,16.121
2458511.500000000,16.107
2458512.500000000,16.093
2458513.500000000,16.078
2458514.500000000,16.063
2458515.500000000,16.048
2458516.500000000,16.032
2458517.500000000,16.016
2458518.500000000,15.999
2458519.500000000,15.982
2458520.500000000,15.964
2458521.500000000,15.946
2458522.500000000,15.927
2458523.500000000,15.908
2458524.500000000,15.889
2458525.500000000,15.871
2458526.500000000,15.859
2458527.500000000,15.856
2458528.500000000,15.862
2458529.500000000,15.875
2458530.500000000,15.890
2458531.500000000,15.906
2458532.500000000,15.921
2458533.500000000,15.936
2458534.500000000,15.950
2458535.500000000,15.964
2458536.500000000,15.977
2458537.500000000,15.989
2458538.500000000,16.001
2458539.500000000,16.013
2458540.500000000,16.024
2458541.500000000,16.035
2458542.500000000,16.046
2458543.500000000,16.056
2458544.500000000,16.066
2458545.500000000,16.076
2458546.500000000,16.085
2458547.500000000,16.094
2458548.500000000,16.103
2458549.500000000,16.112
2458550.500000000,16.120
2458551.500000000,16.129
2458552.500000000,16.137
2458553.500000000,16.145
2458554.500000000,16.152
2458555.500000000,16.160
2458556.500000000,16.167
2458557.500000000,16.175
2458558.500000000,16.182
2458559.500000000,16.189
2458560.500000000,16.196
2458561.500000000,16.202
2458562.500000000,16.209
2458563.500000000,16.215
2458564.500000000,16.222
2458565.500000000,16.228
2458566.500000000,16.234
2458567.500000000,16.240
2458568.500000000,16.246
2458569.500000000,16.252
2458570.500000000,16.257
2458571.500000000,16.263
2458572.500000000,16.269
2458573.500000000,16.274
2458574.500000000,16.279
2458575.500000000,16.285
2458576.500000000,16.290
2458577.500000000,16.295
2458578.500000000,16.300
2458579.500000000,16.305
2458580.500000000,16.309
2458581.500000000,16.314
2458582.500000000,16.319
2458583.500000000,16.323
2458584.500000000,16.328
2458585.500000000,16.332
2458586.500000000,16.336
2458587.500000000,16.341
2458588.500000000,16.345
2458589.500000000,16.349
2458590.500000000,16.353
2458591.500000000,16.357
2458592.500000000,16.361
2458593.500000000,16.365
2458594.500000000,16.368
2458595.500000000,16.372
2458596.500000000,16.376
2458597.500000000,16.379
2458598.500000000,16.383
2458599.500000000,16.386
2458600.500000000,16.390
2458601.500000000,16.393
2458602.500000000,16.396
2458603.500000000,16.399
2458604.500000000,16.402
2458605.500000000,16.406
2458606.500000000,16.409
2458607.500000000,16.411
2458608.500000000,16.414
2458609.500000000,16.417
2458610.500000000,16.420
2458611.500000000,16.423
2458612.500000000,16.425
2458613.500000000,16.428
2458614.500000000,16.430
2458615.500000000,16.433
2458616.500000000,16.435
2458617.500000000,16.438
2458618.500000000,16.440
2458619.500000000,16.442
2458620.500000000,16.444
2458621.500000000,16.446
2458622.500000000,16.449
2458623.500000000,16.451
2458624.500000000,16.452
2458625.500000000,16.454
2458626.500000000,16.456
2458627.500000000,16.458
2458628.500000000,16.460
2458629.500000000,16.461
2458630.500000000,16.463
2458631.500000000,16.464
2458632.500000000,16.466
2458633.500000000,16.467
2458634.500000000,16.469
2458635.500000000,16.470
2458636.500000000,16.471
2458637.500000000,16.472
2458638.500000000,16.474
2458639.500000000,16.475
2458640.500000000,16.476
2458641.500000000,16.477
2458642.500000000,16.477
2458643.500000000,16.478
2458644.500000000,16.479
2458645.500000000,16.480
2458646.500000000,16.480
2458647.500000000,16.481
2458648.500000000,16.481
2458649.500000000,16.482
2458650.500000000,16.482
2458651.500000000,16.482
2458652.500000000,16.482
2458653.500000000,16.483
2458654.500000000,16.483
2458655.500000000,16.483
2458656.500000000,16.483
2458657.500000000,16.482
2458658.500000000,16.482
2458659.500000000,16.482
2458660.500000000,16.482
2458661.500000000,16.481
2458662.500000000,16.481
2458663.500000000,16.480
2458664.500000000,16.479
2458665.500000000,16.479
2458666.500000000,16.478
2458667.500000000,16.477
2458668.500000000,16.476
2458669.500000000,16.475
2458670.500000000,16.474
2458671.500000000,16.473
2458672.500000000,16.471
2458673.500000000,16.470
2458674.500000000,16.468
2458675.500000000,16.467
2458676.500000000,16.465
2458677.500000000,16.464
2458678.500000000,16.462
2458679.500000000,16.460
2458680.500000000,16.458
2458681.500000000,16.456
2458682.500000000,16.454
2458683.500000000,16.451
2458684.500000000,16.449
2458685.500000000,16.446
2458686.500000000,16.444
2458687.500000000,16.441
2458688.500000000,16.438
2458689.500000000,16.436
2458690.500000000,16.433
2458691.500000000,16.430
2458692.500000000,16.426
2458693.500000000,16.423
2458694.500000000,16.420
2458695.500000000,16.416
2458696.500000000,16.413
2458697.500000000,16.409
2458698.500000000,16.405
2458699.500000000,16.401
2458700.500000000,16.397
2458701.500000000,16.393
2458702.500000000,16.389
2458703.500000000,16.384
2458704.500000000,16.380
2458705.500000000,16.375
2458706.500000000,16.370
2458707.500000000,16.365
2458708.500000000,16.360
2458709.500000000,16.355
2458710.500000000,16.350
2458711.500000000,16.344
2458712.500000000,16.339
2458713.500000000,16.333
2458714.500000000,16.327
2458715.500000000,16.321
2458716.500000000,16.315
2458717.500000000,16.309
2458718.500000000,16.302
2458719.500000000,16.296
2458720.500000000,16.289
2458721.500000000,16.282
2458722.500000000,16.275
2458723.500000000,16.268
2458724.500000000,16.261
2458725.500000000,16.253
2458726.500000000,16.246
2458727.500000000,16.238
2458728.500000000,16.230
2458729.500000000,16.222
2458730.500000000,16.214
2458731.500000000,16.205
2458732.500000000,16.197
2458733.500000000,16.188
2458734.500000000,16.179
2458735.500000000,16.170
2458736.500000000,16.160
2458737.500000000,16.151
2458738.500000000,16.141
2458739.500000000,16.132
2458740.500000000,16.122
2458741.500000000,16.111
2458742.500000000,16.101
2458743.500000000,16.091
2458744.500000000,16.080
2458745.500000000,16.069
2458746.500000000,16.058
2458747.500000000,16.047
2458748.500000000,16.035
2458749.500000000,16.023
2458750.500000000,16.012
2458751.500000000,16.000
2458752.500000000,15.987
2458753.500000000,15.975
2458754.500000000,15.962
2458755.500000000,15.949
2458756.500000000,15.936
2458757.500000000,15.923
2458758.500000000,15.909
2458759.500000000,15.896
2458760.500000000,15.882
2458761.500000000,15.868
2458762.500000000,15.854
2458763.500000000,15.839
2458764.500000000,15.825
2458765.500000000,15.810
2458766.500000000,15.795
2458767.500000000,15.779
2458768.500000000,15.764
2458769.500000000,15.748
2458770.500000000,15.733
2458771.500000000,15.717
2458772.500000000,15.700
2458773.500000000,15.684
2458774.500000000,15.667
2458775.500000000,15.651
2458776.500000000,15.634
2458777.500000000,15.616
2458778.500000000,15.599
2458779.500000000,15.582
2458780.500000000,15.564
2458781.500000000,15.546
2458782.500000000,15.528
2458783.500000000,15.510
2458784.500000000,15.491
2458785.500000000,15.473
2458786.500000000,15.454
2458787.500000000,15.435
2458788.500000000,15.416
2458789.500000000,15.397
2458790.500000000,15.378
2458791.500000000,15.359
2458792.500000000,15.339
2458793.500000000,15.320
2458794.500000000,15.300
2458795.500000000,15.280
2458796.500000000,15.261
2458797.500000000,15.241
2458798.500000000,15.221
2458799.500000000,15.201
2458800.500000000,15.181
2458801.500000000,15.161
2458802.500000000,15.140
2458803.500000000,15.120
2458804.500000000,15.100
2458805.500000000,15.080
2458806.500000000,15.060
2458807.500000000,15.039
2458808.500000000,15.019
2458809.500000000,14.999
2458810.500000000,14.979
2458811.500000000,14.959
2458812.500000000,14.940
2458813.500000000,14.920
2458814.500000000,14.901
2458815.500000000,14.881
2458816.500000000,14.863
2458817.500000000,14.844
2458818.500000000,14.826
2458819.500000000,14.808
2458820.500000000,14.791
2458821.500000000,14.775
2458822.500000000,14.760
2458823.500000000,14.745
2458824.500000000,14.732
2458825.500000000,14.721
2458826.500000000,14.711
2458827.500000000,14.704
2458828.500000000,14.700
2458829.500000000,14.698
2458830.500000000,14.699
2458831.500000000,14.704
2458832.500000000,14.712
2458833.500000000,14.724
2458834.500000000,14.738
2458835.500000000,14.755
2458836.500000000,14.775
2458837.500000000,14.797
2458838.500000000,14.820
2458839.500000000,14.845
2458840.500000000,14.871
2458841.500000000,14.898
2458842.500000000,14.926
2458843.500000000,14.954
2458844.500000000,14.982
2458845.500000000,15.012
2458846.500000000,15.041
2458847.500000000,15.070
2458848.500000000,15.100
2458849.500000000,15.130
2458850.500000000,15.160
2458851.500000000,15.189
2458852.500000000,15.219
2458853.500000000,15.249
2458854.500000000,15.279
2458855.500000000,15.309
2458856.500000000,15.338
2458857.500000000,15.368
